공고명,부문,채용정보,주요업무,지원자격,우대사항,채용절차,근무지,상세URL,first_seen,completed_date
채용 공고 9,WATER,,"전기차 충전 사업 모바일 앱 운영/유지 디자인
기업 웹사이트 운영/유지 디자인
기업 관련 마케팅 디자인 전반 업무
기업 브랜딩 활동과 관련된 디자인 전반 업무
","관련 업계 경력 2년차 이상
앱/웹 디자인 프로젝트 경험 보유
마케팅 디자인 업무 경험이 있는 분
디자인 관련 학과 졸업
","유사 분야에서의 디자인 업무 경험자
온라인 콘텐츠 및 마케팅 디자인에 대한 이해도가 높은 분
유사업계(IT, 스타트업, 에이전시, 기업)에서 디자인 업무 경험이 있는 분
3D 프로그램 및 전반적 디자인 툴(Adobe) 능숙자
근무 장소
서울 본사 (광화문 케이트윈타워 A동 9층)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/9,2026-04-07,
채용 공고 10,WATER,,"Amazon Web Services를 활용하여 클라우드 인프라와 서비스 아키텍처를 설계하고 구축
신규 클라우드 서비스 환경 구축 설계
전기차 충전 사업 인프라 구성 및 유지 보수
클라우드 마이그레이션 및 백업
프로젝트 보안 강화
모니터링 시스템 강화
","인프라 보안에 대한 인식과 기본 지식
Web Service의 구조에 대한 기본 지식
시스템 및 인프라 자동화와 코드에 대한 기본 지식
인프라스트럭처의 구조에 대한 기본 지식
Network 및 TCP/IP에 대한 기본 지식
","IDC 운영 경험이 있으신 분
AWS 인프라 구축 경험이 있으신 분
AWS 자격증이 있으신 분
Ansible 등 자동화 경험이 있으신 분
전기차 충전 사업 관련 경험이 있으신 분
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/10,2026-04-07,
채용 공고 11,WATER,,"미디어 플랫폼 기반 영상 콘텐츠 기획/제작
신규 콘텐츠 포맷 개발
영상 콘텐츠 제작 (촬영/편집) 수행
","포트폴리오 필수 (자유 형식)
영상 관련, 최신 트렌드에 관심이 있으신 분
협업 부서 간 원활한 커뮤니케이션
","유사 분야에서의 콘텐츠 제작 경험이 있으신 분
SNS 플랫폼에 대한 이해도가 높으신 분
전기차를 이용 중이거나, 관심/이해가 깊으신 분
영상 툴 이외의 툴(Adobe)에도 능숙하신 분
브랜디드 콘텐츠 제작 경험이 있으신 분
사진 촬영에도 능숙하신 분
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/11,2026-04-07,
채용 공고 12,WATER,,"직영 충전소 구축을 위한 토지 매입 안건 소싱과 부지 리스크 검토
토지 매매를 위한 매도인 협상과 매매 계약 체결
부지 내 건물, 충전기, 태양광 캐노피 건축에 필요한 인허가 검토 및 관리
내부 부서 및 외부 협력사와의 협업을 통한 착공 준비 단계 관리
직영 충전소 부지 개발 사업 경제성 분석
","유관 업계 경력 5년 수준
운전면허증 보유
","전기차 충전소, 주차장, 태양광 발전소, 고속도로 휴게소, 드라이브스루 매장, 물류 창고, 공장, 전원주택단지 및 민자 도로 투자 개발 등의 경력 보유
입지 타당성 검토 (부동산 공법에 대한 이해도가 높은 자) 및 경제성 분석 가능
부동산 개발 관련사 (인허가, 설계사, PM사 등) 네트워크 보유
부동산개발전문인력 수료증 보유자
엔지니어링 회사에서 도시계획 경력을 보유하고 부동산 개발 시행 경력 보유자
전기차 충전 인프라에 대한 이해도 및 지식 보유
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/12,2026-04-07,
채용 공고 13,WATER,,"주요 도심 거점 위주의 전기차 충전소 구축 영업
주요 공공 기관 및 민자 주도 입찰
제조사, 시공사, 관리사와의 협력을 통한 충전소 구축 계약 및 관리
자체 부동산 개발 충전소 부지 구축에 대한 지원
전기차 충전소 사업 경제성 분석
","전기차 충전 인프라 또는 유관 모빌리티 업계 경력 보유
운전 면허증 보유
","전기기사 이상의 자격증 보유
전기차 충전소 및 전기 설비를 구축한 경험 보유
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/13,2026-04-07,
채용 공고 14,WATER,,"전기차 충전 영업 총괄
주요 도심 거점 위주의 전기차 충전소 구축 영업
주요 공공 기관 및 민자 주도 입찰
제조사, 시공사, 관리사와의 협력을 통한 충전소 구축 계약 및 관리
자체 부동산 개발 충전소 부지 구축에 대한 지원
제휴 및 전략적 파트너십 구축
","전기차 충전 인프라 또는 유관 모빌리티 업계 경력 5년 이상
근무 장소
서울 본사 (광화문 케이트윈타워)
",,"서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/14,2026-04-07,
채용 공고 15,WATER,,"전기차 충전 서비스 Back-End 시스템 기획 운영
운영 관리 시스템 Front-End 기획 및 스토리보드 설계
프로젝트 일정 및 이슈 관리
타사 서비스 분석 등을 통한 서비스 개선 방향 도출
디자인, 개발 등 협업 부서 간 커뮤니케이션
","소프트웨어 공학 관련 전공자 또는 개발에 대한 이해도가 높으신 분
경력 1년 이상의 주니어 서비스 기획자
스토리보드(PPT) 설계가 가능한 분
Back 단의 구조를 이해하면서 기획 설계가 가능하신 분
분석적 사고를 기반으로 문제 해결 능력을 가지신 분
","모빌리티 서비스에 대한 서비스 기획 경험을 보유하신 분
Back-End 부터 Front-End까지 전반적인 기획을 경험하신 분
신규 서비스 론칭을 경험해 보신 분
협업 팀 간 원활한 커뮤니케이션이 가능한 분
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/15,2026-04-07,
채용 공고 16,WATER,,"전기차 충전 관련 구조물 및 공간 디자인
태양광 발전소 구조물 및 공간 디자인
기업 관련 산업 디자인 전반 업무
기업 브랜딩 활동과 관련된 디자인 전반 업무
","관련 업계 경력 3년차 이상
산업 디자인 개발 프로세스 경험이 있는 분
산업 디자인 관련 학과 졸업
포트폴리오 필수
","Keyshot, Rhino 등 3D 디자인 툴 사용 능숙자
오프라인 공간 디자인 이해도가 높은 분
다양한 분야의 업체와 원활한 커뮤니케이션이 가능한 분
유사업계(모빌리티, 스타트업, 에이전시)에서 디자인 업무 경험이 있는 분
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/16,2026-04-07,
채용 공고 17,WATER,,"전기차 충전 사업 모바일 UI / UX 디자인
기업 웹사이트 운영/유지 디자인
기업 관련 마케팅 디자인 전반 업무
기업 브랜딩 활동과 관련된 디자인 전반 업무
","관련 업계 경력 3년차 이상
앱/웹 디자인 프로젝트 경험이 있는 분
마케팅 디자인 업무 경험이 있는 분
디자인 관련 학과 졸업
포트폴리오 필수
","유사 분야에서의 디자인 업무 경험자
온라인 콘텐츠 및 마케팅 디자인에 대한 이해도가 높은 분
유사업계(모빌리티, 스타트업, 에이전시)에서 디자인 업무 경험이 있는 분
3D 프로그램 및 전반적 디자인 툴(Adobe) 능숙자
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/17,2026-04-07,
채용 공고 18,WATER,,"안드로이드 플랫폼에서의 네이티브 앱 개발 역할 수행
모바일 앱 개발을 위한 환경 및 인프라 구축 및 관리
소프트웨어 아키텍처 설계와 기술적 결정에 참여하여 앱의 성능과 안정성 보장
효율적인 코드 작성 및 최적화를 통한 사용자 경험 향상 추구
최신 동향과 기술을 지속적으로 연구하고 이를 앱 개발에 적용
","안드로이드 네이티브 앱 개발 분야에서 5년 이상의 실무 경력 보유
Java, Kotlin 언어에 대한 전문 지식
MVC, MVVM 등의 디자인 패턴과 아키텍처에 대한 심도 있는 이해
다양한 디바이스 크기와 해상도에 대응 가능한 반응형 디자인 경험
RESTful API 및 데이터 통신 프로토콜에 대한 전문 지식
성능 최적화 및 메모리 관리 기술에 대한 능력
버전 관리 시스템(Git 등) 사용에 익숙한 능력
","크로스 플랫폼 개발 경험 (Flutter, React Native 등)
앱 배포 및 관리 경험
높은 문제 해결 능력 및 디버깅 스킬
새로운 기술과 도구에 대한 열정과 학습 능력
모빌리티 서비스에 대한 경험을 보유하신 분
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/18,2026-04-07,
채용 공고 19,WATER,,"iOS 플랫폼에서의 네이티브 앱 개발 역할 수행
모바일 앱 개발을 위한 환경 및 인프라 구축 및 관리
소프트웨어 아키텍처 설계와 기술적 결정에 참여하여 앱의 성능과 안정성 보장
효율적인 코드 작성 및 최적화를 통한 사용자 경험 향상 추구
최신 동향과 기술을 지속적으로 연구하고 이를 앱 개발에 적용
","iOS 네이티브 앱 개발 분야에서 5년 이상의 실무 경력 보유
Swift (iOS) 언어에 대한 전문 지식
MVC, MVVM 등의 디자인 패턴과 아키텍처에 대한 심도 있는 이해
다양한 디바이스 크기와 해상도에 대응 가능한 반응형 디자인 경험
RESTful API 및 데이터 통신 프로토콜에 대한 전문 지식
성능 최적화 및 메모리 관리 기술에 대한 능력
버전 관리 시스템(Git 등) 사용에 익숙한 능력
","크로스 플랫폼 개발 경험 (Flutter, React Native 등)
앱 배포 및 관리 경험
높은 문제 해결 능력 및 디버깅 스킬
새로운 기술과 도구에 대한 열정과 학습 능력
모빌리티 서비스에 대한 경험을 보유하신 분
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/19,2026-04-07,
채용 공고 20,WATER,,"전기차 충전소 구축 및 운영에 필요한 일체 비용 관리 및 제어
충전소 구축 비용 관리 방안 수립
전기차 충전소 구축 계약서 관리 및 보험 증권 등 관리
전기차 충전 서비스 매출 정산
충전소별 매출 및 원가의 분석 관리
세금 계산서 발행 및 처리
VOC 검토 및 대응
","전기차 충전 인프라 또는 유관 모빌리티 업계 경력 1년 이상
MS Office 활용 가능
","SAP 등 회계 프로그램 사용 가능
재무, 회계 관련 자격증 및 지식 보유
재무, 회계 관련 업무 진행 경험
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/20,2026-04-07,
채용 공고 21,WATER,,"전기차 충전소 매출 및 사용 패턴 분석, 운영 보고서 작성
사용 패턴, 사용자 분석으로 기 구축 부지의 이용률 향상 방안 도출
충전소 구축 예정 부지에 대한 가설 설정, 기존 데이터 분석을 통한 정량적 수치 제공하여 투자 의사 결정에 필요한 자료 작성
기획팀과 협력하여 대시보드 설계, 구축, 개선 진행
홍보 이벤트 (체험단 운영, 유튜브 광고, 기사 송출 등) 진행 시 이벤트 별 홍보 효과 (사용률, 회원 가입, 플레이스토어 앱스토어 다운로드 등) 분석
","B2C 고객 서비스 업체에서 2년 이상의 데이터 분석 경력
SQL, Python, Tableau 등 데이터 분석 도구 사용 가능
MS Office 활용 가능
","전기차 충전 사업 혹은 모빌리티 업계에 이해가 있는 분
데이터 분석을 통해 실제 서비스 가치 향상에 기여한 경험이 있는 분
분석적 사고 및 문제 해결 능력
의사 소통 및 협업 능력
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/21,2026-04-07,
채용 공고 22,WATER,,"주요 도심 거점 위주의 전기차 충전소 구축 영업
전기차 충전소 부지 실사 및 견적 검토
전기차 충전소 신규 안건에 대한 경제성 검토
제조사, 시공사, 관리사와의 협력을 통한 충전소 구축 계약 및 시공 관리
전기차 충전소 설계 및 시공 표준화
자체 부동산 개발 충전소 부지 구축에 대한 지원
","전기차 충전 인프라 또는 유관 모빌리티 업계 경력 보유
운전 면허증 보유
","전기 기사 이상의 자격증 보유
급속 충전소 및 전기 설비를 구축한 경험 보유
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/22,2026-04-07,
채용 공고 23,WATER,,"전기차 충전소 구축 신규 안건 소싱을 위한 전략 수립 및 영업
전기차 충전소 부지 실사 및 견적 검토
전기차 충전소 신규 안건에 대한 재무모델 작성 및 경제성 검토
주요 공공 기관 및 민자 주도 입찰 문서 작성
제휴 및 전략적 파트너십 구축과 확대
","전기차 충전 인프라 또는 유관 모빌리티 업계 경력 3년 이상
운전 면허증 보유
근무 장소
서울 본사 (광화문 케이트윈타워)
",,"서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/23,2026-04-07,
채용 공고 26,WATER,,"전기차 충전 운영 시스템 Admin 개발 및 운영
대시보드, 통계, 차트 구현 및 개선
홈페이지 리뉴얼 (브랜딩)
","React를 통한 프론트 구축 경험
React와 Typescript를 자신 있게 사용하실 수 있는 분
Javascript/ES6, HTML, CSS, HTTP, REST API 등에 대한 깊은 이해가 있으신 분
다양한 라이브러리 사용 경험이 있으신 분
Git에 대한 경험 및 이해도가 있으신 분
다양한 직군의 사람들과 커뮤니케이션이 원활한 분
","소스 배포 및 관리 경험
Redux, React Query 등의 라이브러리를 활용해 복잡한 상태 관리를 처리한 경험이 있으신 분
높은 문제 해결 능력 및 디버깅 스킬
새로운 기술과 도구에 대한 열정과 학습 능력
모빌리티 서비스 유관 경험을 보유하신 분
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/26,2026-04-07,
채용 공고 27,WATER,,"전기차 충전 사업 관련 영상 콘텐츠 기획 및 제작(인터뷰, 숏폼 콘텐츠 등)
신규 콘텐츠 포맷 개발
영상 콘텐츠 제작 관련 전반적인 업무(촬영, 편집)
","촬영 장비 및 편집 툴을 자신 있게 사용하실 수 있는 분
관련 경력이 1년 이상 있으신 분
영상 및 전기차 관련 최신 트렌드에 관심이 있으신 분
협업 부서 간 원활한 커뮤니케이션이 가능하신 분
포트폴리오 제출 (필수, 자유 형식)
","유사 분야에서의 콘텐츠 제작 경험이 있으신 분
SNS 채널을 직접 운영해 본 경험이 있으신 분
에이전시 근무 경험이 있으신 분
영상 툴 이외의 툴도 능숙하게 다루시는 분
사진 촬영에도 능숙하신 분
전기차를 이용 중이거나, 관심/이해가 깊으신 분
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/27,2026-04-07,
채용 공고 28,WATER,,"B2G, B2C 전기차 충전소 구축 영업
전기차 충전소 부지 실사 및 견적 검토
전기차 충전소 신규 안건에 대한 경제성 검토
제조사, 시공사, 관리사와의 협력을 통한 충전소 구축 계약 및 시공 관리
전기차 충전소 설계 및 시공 표준화
자체 부동산 개발 충전소 부지 구축에 대한 지원
","전기차 충전 인프라 또는 유관 모빌리티 업계 경력 보유
운전 면허증 보유
","전기 기사 이상의 자격증 보유
급속 충전소 및 전기 설비를 구축한 경험 보유
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 11월 14일 광화문 개소식 (클릭하여 읽어보기)
",,https://watercharging.com/recruitments/28,2026-04-07,
채용 공고 29,WATER,,"전기차 충전소 준공 완료 후 시운전 테스트
전기차 충전기 기능 이상 시 충전기 제조사와 협업하여 이슈 해결
전기차 충전기 기능 이상 시 AS 협력사 기술 지원
제조사별 고장 데이터 관리 및 분석을 통한 충전기 운영 품질 개선
전기차 충전기 AS 자재 관리
","전기차 충전 인프라 또는 유관 모빌리티 업계 경력 2년 이상이신 분
운전면허 보유자
MS Office 활용 가능하신 분
지방 출장이 가능하신 분
","전기기사 보유자
전자 제품에 대한 이해도가 높으며 불량 분석이 가능하신 분
전기차 충전 업계 품질 또는 AS 직무 경력 보유자
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/29,2026-04-07,
채용 공고 30,WATER,,"전기차 충전소 전기안전 점검
전기안전 점검 중 이상 확인 시 전파 및 개선 요청
전기안전 점검 이력 관리
전기차 충전기 정기 점검
정기 점검 중 충전기 기능 이상 시 조치
","전기기사 또는 전기기능장 취득 이후 실무경력 2년 이상, 또는 전기산업기사 취득 이후 실무경력 4년 이상이신 분 (한국전기 기술인 협회 인정 경력)
전기안전관리자 선임이 가능하신 분
운전면허 보유자
지방 출장이 가능하신 분
","전기안전 관리자 직무 경력이 있으신 분
전기차 충전 인프라 또는 유관 모빌리티 업계 경력 경력이 있으신 분
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/30,2026-04-07,
